category,question,answer,keywords
studentstrength, how many members consist in civil 1st year?,""Hello! Thanks for your question! In our college the 1st-year Civil Engineering branch has 70 eager students starting their journey into the world of civil engineering. Would you like to know more about the Civil Engineering program or perhaps other branches at our college? ","student strength in civil 1st year ,branch size in civil 1st year,student count in civil 1st year, civil students 1st year"
studentstrength, how many members consist in me 3rd year?,""Hello! Thanks for your question! In our college the 3rd-year Mechanical Engineering branch has 69 talented students exploring advanced topics like thermodynamics and fluid mechanics. Would you like to know more about the Mechanical Engineering program or perhaps other branches at our college? ","student strength in me 3rd year ,branch size in me 3rd year,student count in me 3rd year, me students 3rd year"
studentstrength, how many members consist in me 2nd year?,""Hello! Thanks for your question! In our college the 2nd-year Mechanical Engineering branch has 70 enthusiastic students diving into exciting topics like mechanics and materials science. Would you like to know more about the Mechanical Engineering program or perhaps other branches at our college? ","student strength in me 2nd year ,branch size in me 2nd year,student count in me 2nd year, me students 2nd year"
studentstrength, how many members consist in me 1st year?,""Hello! Thanks for your question! In our college the 1st-year Mechanical Engineering branch has 70 eager students starting their journey into the world of mechanical engineering. Would you like to know more about the Mechanical Engineering program or perhaps other branches at our college? ","student strength in me 1st year ,branch size in me 1st year,student count in me 1st year, me students 1st year"
studentstrength, how many members consist in it 3rd year?,""Hello! Thanks for your question! In our college the 3rd-year Information Technology (IT) branch has 69 talented students exploring advanced topics like web development and cybersecurity. Would you like to know more about the IT program or perhaps other branches at our college? ","student strength in it 3rd year ,branch size in it 3rd year,student count in it 3rd year, it students 3rd year"
studentstrength, how many members consist in it 2nd year?,""Hello! Thanks for your question! In our college the 2nd-year Information Technology (IT) branch has 70 enthusiastic students diving into exciting topics like programming and database management. Would you like to know more about the IT program or perhaps other branches at our college? ","student strength in it 2nd year ,branch size in it 2nd year,student count in it 2nd year, it students 2nd year"
studentstrength, how many members consist in it 1st year?,""Hello! Thanks for your question! In our college the 1st-year Information Technology (IT) branch has 70 eager students starting their journey into the world of information technology. Would you like to know more about the IT program or perhaps other branches at our college? ","student strength in it 1st year ,branch size in it 1st year,student count in it 1st year, it students 1st year"
studentstrength, how many members consist in cseaiml 3rd year?,""Hello! Thanks for your question! In our college the 3rd-year Computer Science and Engineering with Artificial Intelligence and Machine Learning (CSE-AIML) branch has 69 talented students exploring advanced topics like AI algorithms and machine learning models. Would you like to know more about the CSE-AIML program or perhaps other branches at our college? ","student strength in cseaiml 3rd year ,branch size in cseaiml 3rd year,student count in cseaiml 3rd year, cseaiml students 3rd year"
studentstrength, how many members consist in cseaiml 2nd year?,""Hello! Thanks for your question! In our college the 2nd-year Computer Science and Engineering with Artificial Intelligence and Machine Learning (CSE-AIML) branch has 70 enthusiastic students diving into exciting topics like AI applications and data science. Would you like to know more about the CSE-AIML program or perhaps other branches at our college? ","student strength in cseaiml 2nd year ,branch size in cseaiml 2nd year,student count in cseaiml 2nd year, cseaiml students 2nd year"
studentstrength, how many members consist in cseaiml 1st year?,""Hello! Thanks for your question! In our college the 1st-year Computer Science and Engineering with Artificial Intelligence and Machine Learning (CSE-AIML) branch has 70 eager students starting their journey into the world of AI and machine learning. Would you like to know more about the CSE-AIML program or perhaps other branches at our college? ","student strength in cseaiml 1st year ,branch size in cseaiml 1st year,student count in cseaiml 1st year, cseaiml students 1st year"
